"","keyword","ngram","freq","rake","key"
"47","food market",2,2,14.0253972627905,"food market"
"48","mit campus",2,3,13.999245852187,"mit campus"
"49","business travel",2,2,13.9990662931839,"business travel"
"50","financial district",2,4,13.996151048612,"financial district"
"51","bite brew",2,2,13.9809523809524,"bite brew"
"52","newbury st",2,2,13.950205491691,"newbury st"
"53","street museum",2,4,13.8928873579889,"street museum"
"54","run arboretum",2,2,13.8698830409357,"run arboretum"
"55","td garden",2,4,13.8539144471348,"td garden"
"56","diner breakfast",2,2,13.8461538461538,"diner breakfast"
"57","close downtown",2,4,13.8120966159629,"close downtown"
"58","green line",2,6,13.8120634920635,"green line"
"59","lot restaurant",2,3,13.791245464257,"lot restaurant"
"60","train bus",2,2,13.7629882044561,"train bus"
"61","carson beach",2,8,13.6875,"carson beach"
"62","hip coffee",2,2,13.6598657718121,"hip coffee"
"63","brick sidewalk",2,4,13.5893234672304,"brick sidewalk"
"64","charle river",2,2,13.5876974931536,"charle river"
"65","bus close",2,2,13.5772924457741,"bus close"
"66","food grocery",2,8,13.574244890577,"food grocery"
"67","restaurant food",2,3,13.5685295836464,"restaurant food"
"68","theater district",2,5,13.5673837545823,"theater district"
"69","door minute",2,2,13.4843790232598,"door minute"
"70","shop bank",2,4,13.4767156001967,"shop bank"
"71","newbury street",2,28,13.4635344429034,"newbury street"
"72","proximity downtown",2,11,13.4559030712877,"proximity downtown"
"73","variety food",2,2,13.4155030433226,"variety food"
"74","city offer",2,3,13.3252688172043,"city offer"
"75","charle street",2,5,13.3165400202634,"charle street"
"76","universities college",2,2,13.1979969183359,"universities college"
"77","park mile",2,8,13.1885709014598,"park mile"
"78","tour shopping",2,4,13.1819067871699,"tour shopping"
"79","banks boston",2,2,13.125099538143,"banks boston"
"80","downtown boston",2,14,13.0846656130937,"downtown boston"
"81","boston offer",2,5,13.0417662048097,"boston offer"
"82","house easy",2,3,13.0175871582644,"house easy"
"83","close proximity",2,3,13.0155342040159,"close proximity"
"84","boston restaurant",2,2,13.0094185954736,"boston restaurant"
"85","unique shop",2,3,12.9868605277329,"unique shop"
"86","access minute",2,2,12.9739965095986,"access minute"
"87","acre park",2,6,12.9606102635229,"acre park"
"88","cafe delicious",2,3,12.9410256410256,"cafe delicious"
"89","jamaica plain",2,32,12.9282307727925,"jamaica plain"
"90","close harvard",2,16,12.9187405866743,"close harvard"
"91","diverse eclectic",2,2,12.8671497584541,"diverse eclectic"
"92","harvard campus",2,2,12.8603276927209,"harvard campus"
"93","step action",2,2,12.7950680272109,"step action"
"94","prudential center",2,4,12.7934173669468,"prudential center"
"95","renowne",1,8,12.7058823529412,"renowne"
"96","city center",2,2,12.7020195174844,"city center"
"97","accessible walk",2,3,12.5772994129159,"accessible walk"
"98","castle island",2,2,12.5550883095038,"castle island"
"99","navy yard",2,4,12.4583333333333,"navy yard"
"100","house tallest",2,2,12.4520316027088,"house tallest"
"101","center boston",2,7,12.4185169050898,"center boston"
"102","green vibrant",2,3,12.4098954703833,"green vibrant"
"103","major hospital",2,4,12.4070691273069,"major hospital"
"104","river street",2,3,12.4021098538425,"river street"
"105","store inexpensive",2,3,12.3824884792627,"store inexpensive"
"106","mile minute",2,7,12.3638619094403,"mile minute"
"107","shop friendly",2,2,12.3390914988615,"shop friendly"
"108","orange line",2,8,12.3277777777778,"orange line"
"109","stadium min",2,2,12.2967832167832,"stadium min"
"110","block copley",2,2,12.2374809805579,"block copley"
"111","downtown minute",2,5,12.2335625845493,"downtown minute"
"112","minute downtown",2,4,12.2335625845493,"minute downtown"
"113","popular neighborhoods",2,2,12.2221654314678,"popular neighborhoods"
"114","student professional",2,16,12.21825,"student professional"
"115","city boston",2,6,12.2003683553473,"city boston"
"116","restaurant minute",2,2,12.1583155669292,"restaurant minute"
"117","building block",2,5,12.1577587681779,"building block"
"118","system corner",2,2,12.1553684210526,"system corner"
"119","modern convenience",2,4,12.1201885310291,"modern convenience"
"120","street boston",2,2,12.0239090619525,"street boston"
"121","restaurant quick",2,2,12.0048318778434,"restaurant quick"
"122","street park",2,2,11.9975150254276,"street park"
"123","finest restaurant",2,2,11.9795571525687,"finest restaurant"
"124","action shop",2,2,11.9785271943996,"action shop"
"125","corner bookstore",2,2,11.958,"corner bookstore"
"126","memorial park",2,2,11.9320388349515,"memorial park"
"127","harvard university",2,2,11.9218719276398,"harvard university"
"128","table canary",2,2,11.9,"table canary"
"129","seaport district",2,4,11.863042001585,"seaport district"
"130","hospital beth",2,2,11.7244604316547,"hospital beth"
"131","building center",2,4,11.7235570875057,"building center"
"132","coolidge corner",2,4,11.6785882352941,"coolidge corner"
"133","gate local",2,3,11.6662679425837,"gate local"
"134","boston university",2,31,11.6474280867874,"boston university"
"135","food minute",2,2,11.6248737025811,"food minute"
"136","main street",2,2,11.587215320911,"main street"
"137","walk jogge",2,2,11.5772994129159,"walk jogge"
"138","significant landmark",2,2,11.5684803001876,"significant landmark"
"139","favorite vee vee",2,2,11.5679012345679,"favorite vee vee"
"140","commercial street",2,2,11.5503246753247,"commercial street"
"141","convenient city",2,2,11.5501115844999,"convenient city"
"142","music car",2,2,11.503829997529,"music car"
"143","restaurant roslindale",2,4,11.4903796633912,"restaurant roslindale"
"144","views city",2,7,11.4562211981567,"views city"
"145","gorgeous perfect",2,4,11.4117647058824,"gorgeous perfect"
"146","black mass",2,2,11.4081632653061,"black mass"
"147","victorian house",2,2,11.400144810256,"victorian house"
"148","allston village",2,3,11.3726163234172,"allston village"
"149","emerson college",2,18,11.3531468531469,"emerson college"
"150","boston copley",2,4,11.3016281377485,"boston copley"
